frame, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,-0.108575,0.227776,-0.967641,-0.279257,0.178632,-0.943454,-0.2,0.21,204.1,91.1,583.5,0.317,0.238,0.377,0.0,0.93,1.14,0.91,0.0,1.32,0.0,0.0,0.0,0.23,0.0,0.43,0.0,0.0,0.38,1.5,0.33,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,-0.129993,0.23677,-0.96283,-0.282855,0.215315,-0.934683,-0.214,0.234,200.4,88.3,572.6,0.368,0.252,0.364,0.0,1.18,0.88,0.83,0.0,1.23,0.0,0.19,0.0,0.64,0.0,0.55,0.0,0.0,0.17,1.09,0.11,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,-0.14607,0.227502,-0.96276,-0.283186,0.223428,-0.932677,-0.223,0.234,199.9,87.6,570.9,0.376,0.262,0.358,0.0,1.17,0.66,0.78,0.0,1.14,0.0,0.33,0.0,0.79,0.0,0.64,0.0,0.0,0.1,0.82,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.147819,0.22335,-0.963465,-0.276173,0.210755,-0.937716,-0.219,0.224,200.1,87.5,571.1,0.375,0.268,0.354,0.0,1.12,0.56,0.76,0.0,1.22,0.0,0.44,0.0,0.75,0.0,0.61,0.0,0.0,0.08,0.73,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.14859,0.229382,-0.961928,-0.280654,0.216692,-0.935028,-0.223,0.231,200.5,87.4,571.4,0.377,0.272,0.35,0.0,0.99,0.55,0.59,0.0,1.36,0.0,0.5,0.0,0.68,0.0,0.62,0.0,0.0,0.06,0.7,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.168474,0.225997,-0.959449,-0.282879,0.241607,-0.928227,-0.235,0.243,201.0,87.2,572.2,0.384,0.278,0.345,0.0,1.05,0.67,0.42,0.0,1.59,0.0,0.48,0.0,0.68,0.0,0.56,0.0,0.0,0.0,0.68,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.163907,0.235402,-0.957977,-0.292075,0.248768,-0.923475,-0.238,0.252,201.5,87.1,572.6,0.388,0.279,0.342,0.0,1.09,0.88,0.28,0.0,1.5,0.0,0.44,0.0,0.63,0.0,0.56,0.0,0.0,0.05,0.69,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.165211,0.23024,-0.959007,-0.282321,0.241041,-0.928544,-0.233,0.245,201.9,87.2,573.4,0.381,0.278,0.346,0.0,1.12,1.13,0.29,0.0,1.4,0.0,0.42,0.0,0.61,0.0,0.63,0.0,0.0,0.08,0.75,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.160998,0.225443,-0.960862,-0.297411,0.229389,-0.926783,-0.238,0.236,202.6,87.5,573.7,0.378,0.28,0.346,0.0,1.16,1.25,0.37,0.0,1.13,0.0,0.53,0.0,0.61,0.0,0.64,0.0,0.0,0.07,0.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.160821,0.229869,-0.959842,-0.298201,0.220117,-0.928776,-0.238,0.234,203.0,87.4,573.8,0.376,0.277,0.348,0.0,1.11,1.24,0.49,0.0,1.06,0.0,0.55,0.0,0.68,0.0,0.64,0.0,0.0,0.03,0.81,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
