 gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_1_z, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
-0.044176,0.180015,-0.982671,-0.134627,0.255177,-0.957476,-0.092,0.221,-18.9,76.2,441.4,0.072,0.149,0.053,0.0,0.08,0.72,0.0,0.23,1.41,0.0,0.13,0.18,0.0,0.0,0.21,0.0,0.03,0.63,1.17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.036906,0.158035,-0.986744,-0.08622,0.183766,-0.979181,-0.063,0.172,-19.8,77.4,449.1,0.075,0.126,0.072,0.01,0.03,0.58,0.04,0.19,1.16,0.0,0.3,0.15,0.0,0.04,0.19,0.0,0.36,0.64,1.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.001127,0.16857,-0.985689,-0.085478,0.224571,-0.970701,-0.044,0.198,-20.0,77.5,451.1,0.083,0.119,0.082,0.01,0.0,0.5,0.05,0.16,1.12,0.0,0.45,0.18,0.01,0.04,0.13,0.0,0.54,0.69,1.04,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.001255,0.166552,-0.986032,-0.086894,0.239858,-0.966911,-0.044,0.205,-20.2,78.1,454.1,0.075,0.114,0.085,0.01,0.0,0.35,0.02,0.11,1.15,0.0,0.46,0.15,0.01,0.11,0.19,0.0,0.64,0.64,0.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.008596,0.157073,-0.98755,-0.08063,0.245506,-0.966036,-0.037,0.203,-20.3,78.0,454.8,0.074,0.11,0.09,0.09,0.0,0.26,0.09,0.05,1.15,0.0,0.33,0.14,0.01,0.07,0.13,0.0,0.58,0.54,0.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.001212,0.180487,-0.983577,-0.105242,0.262076,-0.959291,-0.053,0.224,-19.3,77.5,454.4,0.084,0.11,0.085,0.09,0.0,0.12,0.13,0.0,1.29,0.0,0.14,0.08,0.0,0.11,0.12,0.0,0.52,0.38,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02369,0.186797,-0.982113,-0.100676,0.238841,-0.965826,-0.064,0.215,-19.6,76.8,451.7,0.092,0.112,0.087,0.09,0.14,0.19,0.15,0.0,1.43,0.0,0.1,0.06,0.0,0.04,0.04,0.0,0.38,0.2,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.026879,0.191666,-0.981092,-0.104758,0.261435,-0.959519,-0.068,0.229,-19.5,76.7,451.1,0.092,0.111,0.083,0.0,0.14,0.21,0.14,0.01,1.45,0.0,0.18,0.08,0.0,0.04,0.01,0.0,0.37,0.15,0.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.058698,0.180332,-0.981853,-0.104241,0.273773,-0.956129,-0.084,0.23,-19.4,76.7,450.8,0.092,0.103,0.086,0.11,0.14,0.31,0.09,0.01,1.37,0.0,0.21,0.1,0.0,0.04,0.01,0.0,0.24,0.1,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.063691,0.205621,-0.976557,-0.175951,0.284543,-0.942378,-0.124,0.25,-19.0,77.1,453.7,0.112,0.119,0.082,0.11,0.0,0.24,0.07,0.01,1.33,0.0,0.33,0.11,0.0,0.06,0.0,0.0,0.33,0.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
